id,platform,accountwallet,assettype,assetname,ticker,amount,nativecurrency,nativeprice,usdprice,totalnative,totalusd,timestamp
126,Ethereum,0x0504cCed39E796912c3561E419d9853f2c8edb46,Crypto,Aave Interest bearing DAI,aDAI-USD,29.206292927826244581,USD,0.98047727051723099211955059217871166765689849853515625,0.98047727051723099211955059217871166765689849853515625,28.63610637180178318832495637,28.63610637180178318832495637,2024-10-06 18:00:44.777094
127,Ethereum,0x0504cCed39E796912c3561E419d9853f2c8edb46,Crypto,Wrapped Ether,WETH-USD,0.015332352941176471,USD,2442.6944060705163792590610682964324951171875,2442.6944060705163792590610682964324951171875,37.45225276131059478545500647,37.45225276131059478545500647,2024-10-06 18:00:44.777094
128,Ethereum,0x0504cCed39E796912c3561E419d9853f2c8edb46,Crypto,Maker,MKR-USD,0.02,USD,1466.37090330994760734029114246368408203125,1466.37090330994760734029114246368408203125,29.32741806619895214680582285,29.32741806619895214680582285,2024-10-06 18:00:44.777094
129,Ethereum,0x0504cCed39E796912c3561E419d9853f2c8edb46,Crypto,Dai Stablecoin,DAI-USD,18,USD,0.99965467259520279785789398374618031084537506103515625,0.99965467259520279785789398374618031084537506103515625,17.99378410671365036144209171,17.99378410671365036144209171,2024-10-06 18:00:44.777094
130,Ethereum,0x0504cCed39E796912c3561E419d9853f2c8edb46,Crypto,ether.fi ETH,eETH-USD,0.020346239790093414,USD,2397.37699894603838401963002979755401611328125,2397.37699894603838401963002979755401611328125,48.77760728781062280678704188,48.77760728781062280678704188,2024-10-06 18:00:44.777094
131,Ethereum,0x0504cCed39E796912c3561E419d9853f2c8edb46,Crypto,CRYPTOFORCE,COF-USD,9066236.246704335,USD,0.00000217436890113000012020728728134866258869806188158690929412841796875,0.00000217436890113000012020728728134866258869806188158690929412841796875,19.71334214513148156778506362,19.71334214513148156778506362,2024-10-06 18:00:44.777094
132,Ethereum,0x0504cCed39E796912c3561E419d9853f2c8edb46,Crypto,PAAL AI,$PAAL-USD,1920.989319389,USD,0.2295305463331348827527023104266845621168613433837890625,0.2295305463331348827527023104266845621168613433837890625,440.9257279794741080778479261,440.9257279794741080778479261,2024-10-06 18:00:44.777094
133,Ethereum,0xb42Bc5C2E168C95f6dbF4AA0733CA0Fa5B15B4F1,Crypto,Ethereum,ETH-USD,9.059570348486367556,USD,2442.9437848603765814914368093013763427734375,2442.9437848603765814914368093013763427734375,22132.02107634012759588135769,22132.02107634012759588135769,2024-10-06 18:00:44.777094
134,Coinbase,DEFAULT,Crypto,SUI,SUI-USD,750.1354000000000041836756281554698944091796875,USD,1.777949820792352876552325418,1.777949820792352876552325418,1333.703099999999949432094581425189971923828125,1333.703099999999949432094581425189971923828125,2024-10-06 18:00:44.777094
135,Coinbase,DEFAULT,Crypto,DOGE,DOGE-USD,8651.400999999999839928932487964630126953125,USD,0.1111250027596686435398749860,0.1111250027596686435398749860,961.386960000000044601620174944400787353515625,961.386960000000044601620174944400787353515625,2024-10-06 18:00:44.777094
136,Nordnet,C2019,Crypto,Ethereum,ETHEREUM-XBT.ST,1000,SEK,224.22000122070312,21.63746775292406634301807731,224220.00122070312000,21637.46775292406634301807731,2024-10-06 20:00:37.703659
137,Nordnet,C2020,Crypto,Ethereum,ETHEREUM-XBT.ST,735,SEK,224.22000122070312,21.63746775292406634301807731,164801.70089721679320,15903.53879839918876211828682,2024-10-06 20:00:37.703659
138,Nordnet,C2017,Crypto,Bitcoin,BITCOIN-XBT.ST,125,SEK,2970.110107421875,286.6187731785666947085571289,371263.763427734375,35827.34664732083683856964111,2024-10-06 20:00:37.703659
